"FarmID","FarmScaleID","SpeciesID","Certification","DiseaseID","DiseaseDiagnosis","SubstanceUsed","SubstanceCategory","Location","Disease","DiseaseSigns","AffectPart","Agent","Cause"
"2-2-025-03","Large","Penaeus monodon","Don’t know","EMS","Mortality rate","Pro-W","Probiotic","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-025-03","Large","Penaeus monodon","Don’t know","EMS","Mortality rate","Sanolife Nutrilake","Enhance natural food","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-025-03","Large","Penaeus monodon","Don’t know","EMS","Mortality rate","Super PS","Probiotic","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-025-03","Large","Penaeus monodon","Don’t know","EMS","Mortality rate","Zymetin","Probiotic","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-025-04","Large","Penaeus monodon","No certification","WSSV","Experience","Biomar","Unclear","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-025-04","Large","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Calmag","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-025-04","Large","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Pond Care","Probiotic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-025-04","Large","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Pro 400X","Organic matter decompose","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-025-04","Large","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Pro-W","Probiotic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-025-04","Large","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Shell min","Mineral elements","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-025-04","Large","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Soda mix","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-025-04","Large","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Super PS","Probiotic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-025-04","Large","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Viva Soil","Unknown","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-026-01","Small","Penaeus monodon","No certification","EMS","Experience","Calmag","Immunostimulant","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-01","Small","Penaeus monodon","No certification","EMS","Shrimp behaviour","K-Max","Immunostimulant","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-01","Small","Penaeus monodon","No certification","EMS","Mortality rate","pH Fixer","Probiotic","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-01","Small","Penaeus monodon","No certification","EMS","PHP/Feed company technician","Soda mix","Immunostimulant","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-02","Small","Penaeus monodon","No certification","EMS","Experience","Calmag","Immunostimulant","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-02","Small","Penaeus monodon","No certification","EMS","Shrimp behaviour","pH Fixer","Probiotic","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-02","Small","Penaeus monodon","No certification","EMS","Mortality rate","Soda mix","Immunostimulant","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-02","Small","Penaeus monodon","No certification","EMS","PHP/Feed company technician","Super Biotic","Probiotic","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-02","Small","Penaeus monodon","No certification","EMS","PHP/Feed company technician","Super PS","Probiotic","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-03","Small","Penaeus monodon","No certification","WSSV","Experience","A. Soil","Mineral elements","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-026-03","Small","Penaeus monodon","No certification","Loose shell","Shrimp behaviour","C-189","Immunostimulant","Khulna","Loose shell","Abdominal weakness between shell and muscle","Body","Bacteria","Infectious"
"2-2-026-03","Small","Penaeus monodon","No certification","EMS","Mortality rate","K-Max","Immunostimulant","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-03","Small","Penaeus monodon","No certification","EMS","Government official","pH Fixer","Probiotic","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-03","Small","Penaeus monodon","No certification","EMS","PHP/Feed company technician","Soda mix","Immunostimulant","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-03","Small","Penaeus monodon","No certification","EMS","PHP/Feed company technician","Super Biotic","Probiotic","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-026-03","Small","Penaeus monodon","No certification","EMS","PHP/Feed company technician","Super PS","Probiotic","Khulna","Early Mortality Sydrome","Pale hepatopancreas and empty stomach","Digestive","Bacteria","Infectious"
"2-2-028-01","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-01","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-01","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-01","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-02","Medium","Penaeus monodon","No certification","WSSV","Experience","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-02","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-02","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-02","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-03","Medium","Penaeus monodon","No certification","WSSV","Experience","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-03","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-03","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-03","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-04","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-04","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-04","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-04","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-05","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-05","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-05","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-05","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-06","Medium","Penaeus monodon","No certification","WSSV","Experience","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-06","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-06","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-06","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-07","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-07","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-07","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-07","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-08","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-08","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-08","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-08","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-09","Small","Penaeus monodon","No certification","WSSV","Mortality rate","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-09","Small","Penaeus monodon","No certification","WSSV","Other farmers experience","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-09","Small","Penaeus monodon","No certification","WSSV","Shrimp behaviour","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-09","Small","Penaeus monodon","No certification","WSSV","Experience","Gelatin","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-10","Small","Penaeus monodon","No certification","WSSV","Experience","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-10","Small","Penaeus monodon","No certification","WSSV","Mortality rate","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-10","Small","Penaeus monodon","No certification","WSSV","Other farmers experience","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-10","Small","Penaeus monodon","No certification","WSSV","Shrimp behaviour","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-11","Medium","Penaeus monodon","No certification","WSSV","Experience","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-11","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-11","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-12","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-12","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-12","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-13","Medium","Penaeus monodon","Don’t know","WSSV","Experience","A. Soil","Mineral elements","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-13","Medium","Penaeus monodon","Don’t know","Black gill","Shrimp behaviour","Calmag","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-13","Medium","Penaeus monodon","Don’t know","Black gill","Mortality rate","K-Max","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-13","Medium","Penaeus monodon","Don’t know","Black gill","Mortality rate","Mutagen","Immunostimulant, Feed additive","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-13","Medium","Penaeus monodon","Don’t know","Black gill","Mortality rate","pH Fixer","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-13","Medium","Penaeus monodon","Don’t know","Black gill","Mortality rate","Soda mix","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-13","Medium","Penaeus monodon","Don’t know","Black gill","Mortality rate","Super Biotic","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-13","Medium","Penaeus monodon","Don’t know","Black gill","Mortality rate","Super PS","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-13","Medium","Penaeus monodon","Don’t know","Black gill","Mortality rate","Zymetin","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-14","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-14","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-15","Medium","Penaeus monodon","No certification","WSSV","Mortality rate","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-15","Medium","Penaeus monodon","No certification","Body turns into red after death","Mortality rate","Prawn Tech","Anticeptic","Khulna","Red Body Post Mortem","Black/brown pigmented lesions on body","Body","Unknown","Unknown"
"2-2-028-16","Medium","Penaeus monodon","Don’t know","WSSV","Shrimp behaviour","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-16","Medium","Penaeus monodon","Don’t know","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-17","Large","Penaeus monodon","No certification","WSSV","Shrimp behaviour","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-17","Large","Penaeus monodon","No certification","WSSV","Mortality rate","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-18","Medium","Penaeus monodon","No certification","WSSV","Experience","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-18","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-19","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-19","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-20","Medium","Penaeus monodon","No certification","WSSV","Experience","A. Soil","Mineral elements","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-20","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Calmag","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-20","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","K-Max","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-20","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Mutagen","Immunostimulant, Feed additive","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-20","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","pH Fixer","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-20","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Soda mix","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-20","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Super Biotic","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-20","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Super PS","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-20","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Zymetin","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-21","Medium","Penaeus monodon","No certification","WSSV","Experience","Bio clean","Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-21","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Prawn Tech","Anticeptic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-22","Small","Penaeus monodon","No certification","WSSV","Experience","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-22","Small","Penaeus monodon","No certification","WSSV","Shrimp behaviour","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-23","Large","Penaeus monodon","No certification","WSSV","Experience","Calmag","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-23","Large","Penaeus monodon","No certification","Black gill","Shrimp behaviour","K-Max","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-23","Large","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Mutagen","Immunostimulant, Feed additive","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-23","Large","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Soda mix","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-23","Large","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Super PS","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-23","Large","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Zymetin","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-24","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","A. Soil","Mineral elements","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-24","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Calmag","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-24","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","K-Max","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-24","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Mutagen","Immunostimulant, Feed additive","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-24","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","pH Fixer","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-24","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Soda mix","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-24","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Super Biotic","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-24","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Super PS","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-24","Medium","Penaeus monodon","No certification","Black gill","Shrimp behaviour","Zymetin","Probiotic","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-25","Medium","Penaeus monodon","No certification","WSSV","Experience","CeVit- Aqua","Vitamins","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-25","Medium","Penaeus monodon","No certification","WSSV","Other farmers experience","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-25","Medium","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Water care","Oxygen supplier, Toxic gas reducer","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-26","Small","Penaeus monodon","No certification","WSSV","Experience","Gelatin","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-26","Small","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Gelatin","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-27","Small","Penaeus monodon","No certification","WSSV","Experience","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-27","Small","Penaeus monodon","No certification","WSSV","Mortality rate","China Aqua Jet Plus","Bactericide/fungicide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-28","Large","Penaeus monodon","No certification","WSSV","Experience","Classic Aqua Z Powder","Unknown","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-28","Large","Penaeus monodon","No certification","WSSV","Mortality rate","Metro Aqua Solution","Bactericide/virustatic","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-29","Large","Penaeus monodon","No certification","WSSV","Shrimp behaviour","Calmag","Immunostimulant","Khulna","WSSV","White spots on carapace, appendages and cuticle","Body/appendages","Virus","Infectious"
"2-2-028-29","Large","Penaeus monodon","No certification","Black gill","Mortality rate","K-Max","Immunostimulant","Khulna","Black Gill Disease","Black Spots on Gill","Gills","Bacteria/Fungus","Infectious"
"2-2-028-29","Large","Penaeus monodon","No certification","Soft shell syndrome","Mortality rate","Mutagen","Immunostimulant, Feed additive","Khulna","Loose shell","Abdominal weakness between shell and muscle","Body","Bacteria","Infectious"
"2-2-028-29","Large","Penaeus monodon","No certification","Soft shell syndrome","Mortality rate","Soda mix","Immunostimulant","Khulna","Loose shell","Abdominal weakness between shell and muscle","Body","Bacteria","Infectious"
"2-2-028-29","Large","Penaeus monodon","No certification","Soft shell syndrome","Mortality rate","Super PS","Probiotic","Khulna","Loose shell","Abdominal weakness between shell and muscle","Body","Bacteria","Infectious"
