"FarmID","FarmScaleID","SpeciesID","DiseaseID","DiseaseDiagnosis","SubstanceUsed","SubstanceCategory","Location","Disease","DiseaseSigns","AffectPart","Agent","Cause"
"88-098","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-098","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Chlorantraniliprol","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-098","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Cypermethrin","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-098","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Phenthoate","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-098","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Rotenone","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-098","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-098","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-099","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-099","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Carbafuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-099","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Chlorantraniliprol","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-099","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Chlorpyrifos","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-099","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-099","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-099","Small","Macrobrachium rosenbergii","Sessilinasis","Diagnosis support from chemical supplier","Salpher","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-100","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-100","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-101","Medium","Macrobrachium rosenbergii","Sessilinasis","Own experience","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-101","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Carbofuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-101","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-101","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-102","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Potassium permanganate","Disinfectants","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-102","Medium","Macrobrachium rosenbergii","Sessilinasis","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-103","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Potassium permanganate","Disinfectants","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-103","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Carbofuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-103","Medium","Macrobrachium rosenbergii","Black Spot Infection","Diagnosis support from chemical supplier","Aluminum potassium sulfate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-103","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-103","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-104","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-104","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-104","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-104","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-105","Medium","Macrobrachium rosenbergii","White tail disease","Diagnosis support from feed company","Carbofuran","Pesticides","Khulna","White Tail Disease","White discoloration on tail","Appendages","Virus","Infectious"
"88-105","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from feed company","Chlorantraniliprol","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-105","Medium","Macrobrachium rosenbergii","Sessilinasis","Diagnosis support from feed company","Chlorantraniliprol","Pesticides","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-105","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-105","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-106","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-106","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-106","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-107","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-107","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-107","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-108","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-108","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-108","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Zeolite","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-109","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-109","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-110","Small","Macrobrachium rosenbergii","Antenna broken","Professional diagnostic service","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-110","Small","Macrobrachium rosenbergii","Blue Shell Disease","Other research facility","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-110","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-110","Small","Macrobrachium rosenbergii","Rostrum broken","University","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-111","Small","Macrobrachium rosenbergii","Black Spot Infection","Professional diagnostic service","Aluminum potassium sulfate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-111","Small","Macrobrachium rosenbergii","Antenna broken","Other research facility","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-111","Small","Macrobrachium rosenbergii","Blue Shell Disease","University","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-111","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-112","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-112","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-112","Small","Macrobrachium rosenbergii","Sessilinasis","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-113","Small","Macrobrachium rosenbergii","Sessilinasis","Diagnosis support from chemical supplier","Benzalkonium chloride (BKC)","Disinfectants","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-113","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Carbofuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-113","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-113","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-114","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-114","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-114","Small","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Zeolite","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-114","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Zeolite","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-114","Small","Macrobrachium rosenbergii","Sessilinasis","Own experience","Zeolite","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-115","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Carbofuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-115","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-115","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-116","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Carbofuran","Pesticides","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-116","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Carbofuran","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-117","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-117","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-117","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-118","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Chlortetracycline","Antibiotics","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-118","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Chlorantraniliprol","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-118","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-118","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Salpher","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-119","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-119","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-119","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-120","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-120","Small","Macrobrachium rosenbergii","Black Spot Infection","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-120","Small","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-120","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-120","Small","Macrobrachium rosenbergii","Sessilinasis","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-121","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Other research facility","Carbofuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-121","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Carbofuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-121","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from feed company","Carbofuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-121","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Carbofuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-121","Medium","Macrobrachium rosenbergii","Rostrum broken","University","Carbofuran","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-121","Medium","Macrobrachium rosenbergii","Antenna broken","Professional diagnostic service","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-122","Medium","Macrobrachium rosenbergii","Sessilinasis","Own experience","Phenthoate","Pesticides","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-122","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-122","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-123","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Andicone(Trade name)","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-123","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Carbafuran","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-123","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from feed company","Chlorpyrifos","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-123","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-124","Medium","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-124","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from feed company","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-124","Medium","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-125","Medium","Macrobrachium rosenbergii","Antenna broken","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-125","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-125","Medium","Macrobrachium rosenbergii","Rostrum broken","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-125","Medium","Macrobrachium rosenbergii","Sessilinasis","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-125","Medium","Macrobrachium rosenbergii","White tail disease","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","White Tail Disease","White discoloration on tail","Appendages","Virus","Infectious"
"88-126","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-126","Medium","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-126","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-126","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-126","Medium","Macrobrachium rosenbergii","Sessilinasis","Own experience","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-127","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-127","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-127","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Diagnosis support from chemical supplier","Zeolite","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-128","Medium","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-128","Medium","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-128","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-128","Medium","Macrobrachium rosenbergii","Sessilinasis","Own experience","Calcium carbonate","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-129","Medium","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Calcium carbonate","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-130","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Andicone(Trade name)","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-130","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-130","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-131","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","(Ag)Rifit(Trade name)","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-131","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-132","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Carbafuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-132","Small","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Diagnosis support from chemical supplier","Phenthoate","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-132","Small","Macrobrachium rosenbergii","Antenna broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-132","Small","Macrobrachium rosenbergii","Rostrum broken","Diagnosis support from chemical supplier","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-133","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Chlortetracycline","Antibiotics","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-133","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Carbafuran","Pesticides","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-133","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-134","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Zeolite","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-134","Small","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Zeolite","Water and sediment","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-134","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Zeolite","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-134","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Zeolite","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-134","Small","Macrobrachium rosenbergii","Sessilinasis","Own experience","Zeolite","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-135","Medium","Macrobrachium rosenbergii","Blue Shell Disease with bacterial infection","Own experience","Carbafuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-135","Medium","Macrobrachium rosenbergii","Black Spot Infection","Own experience","Cypermethrin","Pesticides","Khulna","Brown Spot Infection","Black/Brown Spots on Body","Body","Bacteria/Fungus","Infectious"
"88-135","Medium","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-135","Medium","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-135","Medium","Macrobrachium rosenbergii","Sessilinasis","Own experience","Zeolite","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-136","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Carbofuran","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-136","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Cypermethrin","Pesticides","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-136","Small","Macrobrachium rosenbergii","Antenna broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-136","Small","Macrobrachium rosenbergii","Rostrum broken","Own experience","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken rostrum","Rostrum","None","Physical"
"88-136","Small","Macrobrachium rosenbergii","Sessilinasis","Own experience","Dolomite","Water and sediment","Khulna","Sessilinasis","Cotton-like appearance of gill and body surface","Gill/body","Bacteria","Infectious"
"88-136","Small","Macrobrachium rosenbergii","Blue Shell Disease","Own experience","Salpher","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
"88-137","Small","Macrobrachium rosenbergii","Antenna broken","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Physical Injury","Broken antenna","Antenna","None","Physical"
"88-137","Small","Macrobrachium rosenbergii","Blue Shell Disease","Farm(s) employ trained health specialist(s)","Calcium carbonate","Water and sediment","Khulna","Blue Shell Disease","Blue Body","Body","None","Nutrition"
